manufacturer,manufacturer_code,model,model_code,year,year_code,engine_type,engine_type_code,engine_volume,engine_volume_code,test_consumption,factory_consumption,average_consumption
סיטרואן,28,C5,193,2010,11,בנזין,1,3,4,0.0,8.4,8.4
סיטרואן,28,C5,193,2011,4,בנזין,1,1.6,6,0.0,10.5,10.5
סיטרואן,28,C5 אייר קרוס,194,2019,3,בנזין,1,1.6,6,17.5,12.5,15.0
סיטרואן,28,DS-4,195,2013,9,בנזין,1,1.6,6,12.0,10.5,11.25
סיטרואן,28,DS-5,196,2012,8,בנזין,1,1.6,6,0.0,9.2,9.2
סיטרואן,28,ברלינגו,197,2010,11,בנזין,1,דיזל 1.6,64,0.0,12.5,12.5
סיטרואן,28,ברלינגו,197,2016,6,בנזין,1,"דיזל 1.6 75 כ""ס",65,23.3,14.5,18.9
סיטרואן,28,ברלינגו,197,2018,7,בנזין,1,דיזל 1.6 אוטומט,66,23.8,15.5,19.65
סיטרואן,28,ג'מפי,198,2010,11,בנזין,1,דיזל 1.6,64,0.0,11.7,11.7
סיטרואן,28,ג'מפי קומבי,199,2010,11,בנזין,1,דיזל 1.6,64,0.0,11.7,11.7
סיטרואן,28,גראנד ספייס טורר C4,200,2021,13,בנזין,1,1.2,10,14.7,12.0,13.35
סיטרואן,28,קקטוס,201,2015,2,בנזין,1,1.2,10,21.7,13.5,17.6
סיטרואן,28,קקטוס,201,2017,1,בנזין,1,1.2,10,21.7,13.8,17.75
סיטרואן,28,קקטוס,201,2019,3,בנזין,1,1.2,10,19.6,14.5,17.05
סניונג,29,טיבולי,202,2016,6,בנזין,1,1.6,6,13.8,12.0,12.9
סקודה,30,אוקטביה,203,2010,11,בנזין,1,1.6,6,0.0,11.3,11.3
סקודה,30,אוקטביה,203,2014,5,בנזין,1,1.4,3,20.0,15.5,17.75
סקודה,30,אוקטביה,203,2014,5,בנזין,1,1.8,2,17.5,12.0,14.75
סקודה,30,אוקטביה,203,2019,3,בנזין,1,1,15,21.7,11.5,16.6
סקודה,30,אוקטביה,203,2019,3,בנזין,1,1.5,7,20.0,15.0,17.5
סקודה,30,אוקטביה,203,2020,10,בנזין,1,1,15,22.4,14.5,18.45
סקודה,30,אוקטביה,203,2020,10,בנזין,1,1.5,7,20.0,15.0,17.5
סקודה,30,אוקטביה,203,2021,13,בנזין,1,1.5,7,17.8,14.0,15.9
סקודה,30,אוקטביה ספייס,204,2014,5,בנזין,1,1.2,10,20.0,13.3,16.65
סקודה,30,ייטי,205,2011,4,בנזין,1,1.2,10,0.0,12.7,12.7
סקודה,30,סופרב,206,2010,11,בנזין,1,1.8,2,0.0,11.0,11.0
סקודה,30,סופרב,206,2013,9,בנזין,1,1.8,2,13.4,11.8,12.6
סקודה,30,סופרב,206,2015,2,בנזין,1,1.4,3,19.6,14.0,16.8
סקודה,30,סופרב,206,2015,2,בנזין,1,1.8,2,17.5,12.7,15.1
סקודה,30,סופרב,206,2017,1,בנזין,1,1.4,3,19.6,14.0,16.8
סקודה,30,סופרב,206,2017,1,בנזין,1,1.8,2,15.5,13.0,14.25
סקודה,30,סופרב,206,2018,7,בנזין,1,1.4,3,18.8,14.0,16.4
סקודה,30,סופרב,206,2018,7,בנזין,1,1.8,2,16.9,13.0,14.95
סקודה,30,סופרב,206,2019,3,בנזין,1,1.5,7,18.3,13.0,15.65
סקודה,30,סופרב,206,2020,10,בנזין,1,2,1,16.0,13.0,14.5
סקודה,30,סופרב,206,2021,13,בנזין,1,2,1,13.8,13.0,13.4
סקודה,30,סיטיגו,207,2013,9,בנזין,1,1,15,22.7,15.0,18.85
סקודה,30,סקאלה,208,2020,10,בנזין,1,1,15,19.6,15.0,17.3
סקודה,30,סקאלה,208,2021,13,בנזין,1,1,15,17.5,14.5,16.0
סקודה,30,פאביה,209,2011,4,בנזין,1,1.2,10,0.0,13.8,13.8
סקודה,30,פאביה,209,2015,2,בנזין,1,1.2,10,22.2,13.5,17.85
סקודה,30,פאביה,209,2018,7,בנזין,1,1,15,18.5,14.5,16.5
סקודה,30,פאביה,209,2022,12,בנזין,1,1,15,16.9,15.0,15.95
סקודה,30,קאמיק,210,2020,10,בנזין,1,1,15,20.0,14.5,17.25
סקודה,30,קאמיק,210,2021,13,בנזין,1,1,15,17.0,14.5,15.75
סקודה,30,קאמיק,210,2021,13,בנזין,1,1.5,7,15.8,14.0,14.9
סקודה,30,קארוק,211,2018,7,בנזין,1,1,15,18.8,14.0,16.4
סקודה,30,קארוק,211,2018,7,בנזין,1,1.5,7,18.1,13.5,15.8
סקודה,30,קארוק,211,2019,3,בנזין,1,1.5,7,17.8,14.0,15.9
סקודה,30,קארוק,211,2020,10,בנזין,1,1.5,7,17.8,14.0,15.9
סקודה,30,קארוק,211,2021,13,בנזין,1,1.5,7,15.1,13.0,14.05
סקודה,30,קודיאק,212,2017,1,בנזין,1,1.4,3,15.8,11.0,13.4
סקודה,30,קודיאק,212,2019,3,בנזין,1,1.5,7,15.8,13.0,14.4
סקודה,30,קודיאק,212,2019,3,בנזין,1,2.0 דיזל,35,20.0,15.0,17.5
סקודה,30,קודיאק,212,2020,10,בנזין,1,1.5,7,15.8,13.0,14.4
סקודה,30,קודיאק,212,2021,13,בנזין,1,1.5,7,13.0,12.0,12.5
סקודה,30,ראפיד,213,2013,9,בנזין,1,1.4,3,17.2,13.5,15.35
סקודה,30,ראפיד,213,2016,6,בנזין,1,1.2,10,21.7,14.5,18.1
סקודה,30,ראפיד,213,2017,1,בנזין,1,1,15,21.7,14.7,18.2
סקודה,30,ראפיד,213,2017,1,בנזין,1,1.2,10,21.7,14.5,18.1
סקודה,30,רומסטר,214,2010,11,בנזין,1,1.6,6,0.0,9.3,9.3
סקודה,30,רומסטר,214,2014,5,בנזין,1,1.2,10,18.5,13.0,15.75
פולקסווגן,31,ג'טה,215,2010,11,בנזין,1,1.6,6,0.0,12.2,12.2
פולקסווגן,31,ג'טה,215,2011,4,בנזין,1,1.4 TSI בנזין,67,0.0,12.5,12.5
פולקסווגן,31,ג'טה,215,2012,8,בנזין,1,1.2 TSI בנזין,68,0.0,11.6,11.6
פולקסווגן,31,ג'טה,215,2015,2,בנזין,1,1.2 TSI בנזין,68,20.4,14.0,17.2
פולקסווגן,31,ג'טה,215,2017,1,בנזין,1,1.2 TSI בנזין,68,20.4,14.5,17.45
פולקסווגן,31,גולף,216,2015,2,בנזין,1,1.4,3,20.0,13.3,16.65
פולקסווגן,31,גולף,216,2017,1,בנזין,1,1.4,3,20.0,14.0,17.0
פולקסווגן,31,גולף- חדש,217,2017,1,בנזין,1,1.4,3,19.6,14.2,16.9
פולקסווגן,31,חיפושית,218,2014,5,בנזין,1,1.2 TSI בנזין,68,16.9,13.5,15.2
פולקסווגן,31,טוראן,219,2011,4,בנזין,1,1.4,3,0.0,11.4,11.4
פולקסווגן,31,טי קרוס,220,2020,10,בנזין,1,1,15,20.0,14.5,17.25
פולקסווגן,31,טיגואן,221,2015,2,בנזין,1,1.4,3,14.0,11.0,12.5
פולקסווגן,31,טיגואן,221,2017,1,בנזין,1,2,1,13.5,10.0,11.75
פולקסווגן,31,טרנספורטר,222,2012,8,בנזין,1,2,1,0.0,11.8,11.8
פולקסווגן,31,פאסאט,223,2009,14,בנזין,1,2,1,0.0,9.0,9.0
פולקסווגן,31,פאסאט,223,2011,4,בנזין,1,1.8,2,0.0,12.4,12.4
פולקסווגן,31,פאסאט,223,2011,4,בנזין,1,2,1,0.0,12.0,12.0
פולקסווגן,31,פאסאט,223,2012,8,בנזין,1,1.8,2,14.4,12.2,13.3
פולקסווגן,31,פאסאט,223,2015,2,בנזין,1,1.4,3,19.2,13.0,16.1
פולקסווגן,31,פאסאט,223,2018,7,בנזין,1,1.8,2,17.5,13.0,15.25
פולקסווגן,31,פולו,224,2011,4,בנזין,1,1.2,10,0.0,13.3,13.3
פולקסווגן,31,פולו,224,2015,2,בנזין,1,1.2,10,21.2,14.2,17.7
פולקסווגן,31,פולו,224,2018,7,בנזין,1,1,15,21.2,15.0,18.1
פולקסווגן,31,קאדי,225,2012,8,בנזין,1,בנזין TSI 1.2,69,0.0,10.5,10.5
פורד,32,S-MAX,226,2010,11,בנזין,1,2.3,70,0.0,8.8,8.8
פורד,32,אדג',227,2009,14,בנזין,1,3.5,47,0.0,6.8,6.8
פורד,32,אדג',227,2012,8,בנזין,1,3.5,47,0.0,7.2,7.2
פורד,32,אדג',227,2016,6,בנזין,1,3.5,47,8.5,8.0,8.25
פורד,32,אקספלורר,228,2012,8,בנזין,1,3.5,47,8.3,7.3,7.800000000000002
פורד,32,גאלקסי,229,2010,11,בנזין,1,2.3,70,0.0,8.6,8.6
פורד,32,מונדיאו,230,2010,11,בנזין,1,2.3,70,0.0,9.3,9.3
פורד,32,מונדיאו,230,2012,8,בנזין,1,2,1,0.0,10.0,10.0
פורד,32,פוקוס,231,2010,11,בנזין,1,1.6,6,0.0,9.8,9.8
פורד,32,פוקוס 4 דלתות,232,2011,4,בנזין,1,1.6,6,0.0,11.3,11.3
פורד,32,פוקוס 5 דל' ידני,233,2011,4,בנזין,1,1.6,6,0.0,11.4,11.4
פורד,32,פוקוס אקטיב X,234,2020,10,בנזין,1,1.5,7,17.3,13.0,15.15
פורד,32,פוקוס טורר,235,2011,4,בנזין,1,1.6,6,0.0,11.0,11.0
פורד,32,פוקוס טורר,235,2016,6,בנזין,1,1.5,7,16.1,10.5,13.3
פורד,32,פיאסטה,236,2009,14,בנזין,1,1.4,3,0.0,11.6,11.6
פורד,32,פיאסטה,236,2013,9,בנזין,1,1.6,6,15.5,13.0,14.25
פורד,32,קוגה,237,2013,9,בנזין,1,1.6,6,12.9,8.8,10.85
פורד,32,קוגה,237,2016,6,בנזין,1,1.5,7,14.9,9.0,11.95
פורד,32,קוגה,237,2017,1,בנזין,1,1.5,7,14.9,9.0,11.95
פורד,32,קוגה,237,2019,3,בנזין,1,1.5,7,11.0,10.0,10.5
פיאט,33,500,238,2010,11,בנזין,1,1.2,10,0.0,14.0,14.0
פיאט,33,500,238,2016,6,בנזין,1,1.2,10,20.8,15.2,18.0
פיאט,33,500 X,239,2016,6,בנזין,1,1.4,3,17.5,12.0,14.75
פיאט,33,בראבו,240,2011,4,בנזין,1,1.4,3,0.0,11.5,11.5
פיאט,33,טיפו,241,2016,6,בנזין,1,1.6,6,15.8,11.5,13.65
פיג'ו,34,107,242,2010,11,בנזין,1,1,15,0.0,14.0,14.0
פיג'ו,34,107,242,2012,8,בנזין,1,1,15,0.0,19.5,19.5
פיג'ו,34,2008,243,2015,2,בנזין,1,1.6,6,15.3,11.5,13.4
פיג'ו,34,2008,243,2019,3,בנזין,1,1.2,10,20.8,14.5,17.65
פיג'ו,34,2008 חדש,244,2020,10,בנזין,1,1.2 בנזין,11,20.8,14.5,17.65
פיג'ו,34,2008 חדש,244,2020,10,בנזין,1,1.5 דיזל,12,26.3,17.5,21.9
פיג'ו,34,2008 חדש,244,2022,12,בנזין,1,1.2,10,16.4,14.0,15.2
פיג'ו,34,208,245,2013,9,בנזין,1,1.6,6,14.9,12.2,13.55
פיג'ו,34,208,245,2015,2,בנזין,1,1.2,10,20.0,13.5,16.75
פיג'ו,34,208,245,2019,3,בנזין,1,1.2,10,19.5,13.5,16.5
פיג'ו,34,208,245,2021,13,בנזין,1,1.2,10,18.8,13.5,16.15
פיג'ו,34,3008,246,2015,2,בנזין,1,1.6,6,16.6,10.8,13.7
פיג'ו,34,3008,246,2017,1,בנזין,1,1.6 בנזין,63,17.0,13.4,15.2
פיג'ו,34,3008,246,2017,1,בנזין,1,1.6 דיזל,53,23.0,15.0,19.0
פיג'ו,34,3008,246,2018,7,בנזין,1,1.6 דיזל,53,23.8,15.5,19.65
פיג'ו,34,3008,246,2019,3,בנזין,1,1.2,10,19.2,13.5,16.35
פיג'ו,34,3008,246,2020,10,בנזין,1,1.2,10,19.0,13.5,16.25
פיג'ו,34,3008,246,2021,13,בנזין,1,1.2,10,15.3,12.5,13.9
פיג'ו,34,3008,246,2022,12,בנזין,1,1.2,10,15.6,12.5,14.05
פיג'ו,34,301,247,2013,9,בנזין,1,1.6,6,12.8,10.0,11.4
פיג'ו,34,301,247,2016,6,בנזין,1,1.6,6,14.0,10.6,12.3
פיג'ו,34,308,248,2010,11,בנזין,1,1.6,6,0.0,10.4,10.4
פיג'ו,34,308,248,2014,5,בנזין,1,1.2,10,19.2,15.0,17.1
פיג'ו,34,308 SW,249,2010,11,בנזין,1,1.6,6,0.0,8.9,8.9
פיג'ו,34,308 SW,249,2015,2,בנזין,1,1.2,10,19.2,13.5,16.35
פיג'ו,34,308 SW,249,2017,1,בנזין,1,1.2,10,19.2,13.0,16.1
פיג'ו,34,308 SW,249,2018,7,בנזין,1,1.2,10,20.4,13.0,16.7
פיג'ו,34,407,250,2010,11,בנזין,1,1.2,10,14.9,12.5,13.7
פיג'ו,34,407,250,2010,11,בנזין,1,2,1,0.0,8.5,8.5
פיג'ו,34,5008,251,2011,4,בנזין,1,1.6,6,0.0,10.0,10.0
פיג'ו,34,5008,251,2018,7,בנזין,1,בנזין  1.6,71,17.2,12.5,14.85
פיג'ו,34,5008,251,2019,3,בנזין,1,בנזין  1.2,72,17.5,12.0,14.75
פיג'ו,34,5008,251,2019,3,בנזין,1,בנזין  1.6,71,17.5,12.0,14.75
פיג'ו,34,5008,251,2020,10,בנזין,1,בנזין 1.2,73,20.0,13.0,16.5
פיג'ו,34,5008,251,2022,12,בנזין,1,1.2,10,14.9,12.5,13.7
פיג'ו,34,508,252,2011,4,בנזין,1,1.6,6,0.0,11.5,11.5
פיג'ו,34,508,252,2015,2,בנזין,1,1.6,6,17.2,13.0,15.1
פיג'ו,34,"RCZ ת""ה ידנית",253,2011,4,בנזין,1,1.6,6,0.0,10.6,10.6
פיג'ו,34,פרטנר,254,2010,11,בנזין,1,דיזל 1.4,74,0.0,11.0,11.0
קאדילק,35,CTS,255,2011,4,בנזין,1,3,4,0.0,7.7,7.7
קאדילק,35,XT-5,256,2018,7,בנזין,1,3.6,75,9.0,8.5,8.75
קופרה,36,פורמנטור,257,2021,13,בנזין,1,1.5,7,14.5,12.0,13.25
קיה,37,אופטימה,258,2012,8,בנזין,1,2.0 בנזין,49,0.0,11.5,11.5
קיה,37,אופטימה,258,2018,7,בנזין,1,2,1,22.7,16.5,19.6
קיה,37,אקס סיד,259,2020,10,בנזין,1,1.4,3,16.5,13.0,14.75
קיה,37,מג'נטיס,260,2009,14,בנזין,1,2,1,0.0,8.4,8.4
קיה,37,נירו,261,2016,6,בנזין,1,1.6,6,26.0,19.5,22.75
קיה,37,נירו,261,2016,6,בנזין,1,1.6 היברידי,41,26.0,19.5,22.75
קיה,37,נירו,261,2017,1,בנזין,1,1.6,6,26.0,19.5,22.75
קיה,37,נירו,261,2018,7,בנזין,1,1.6,6,26.3,19.7,23.0
קיה,37,נירו,261,2019,3,בנזין,1,1.6,6,27.0,20.0,23.5
קיה,37,נירו,261,2020,10,היברידי,2,1.6,6,27.0,20.0,23.5
קיה,37,נירו פלאג-אין,262,2022,12,היברידי,2,1.6,6,71.0,28.0,49.5
קיה,37,סול,263,2011,4,בנזין,1,1.6,6,0.0,10.1,10.1
קיה,37,סול,263,2014,5,בנזין,1,1.6,6,13.0,12.0,12.5
קיה,37,סורנטו,264,2012,8,בנזין,1,2.2 דיזל,76,14.9,12.5,13.7
קיה,37,סורנטו,264,2012,8,בנזין,1,2.4 בנזין,77,11.6,8.4,10.0
קיה,37,סורנטו,264,2015,2,בנזין,1,2.4 בנזין,77,11.4,10.5,10.95
קיה,37,סורנטו,264,2018,7,בנזין,1,2.4 בנזין,77,11.3,9.5,10.4
קיה,37,סורנטו,264,2022,12,בנזין,1,2.5,14,11.5,10.0,10.75
קיה,37,סטוניק,265,2018,7,בנזין,1,1,15,19.2,13.5,16.35
קיה,37,סטוניק,265,2019,3,בנזין,1,1,15,19.2,14.0,16.6
קיה,37,סטוניק,265,2021,13,בנזין,1,1,15,17.5,14.0,15.75
קיה,37,סטוניק,265,2022,12,בנזין,1,1.4,3,15.1,12.5,13.8
קיה,37,סיד,266,2010,11,בנזין,1,1.6,6,0.0,11.4,11.4
קיה,37,סיד,266,2013,9,בנזין,1,1.6 GDI,37,16.4,13.3,14.85
קיה,37,סיד CW,267,2010,11,בנזין,1,1.6,6,0.0,11.0,11.0
קיה,37,סיד CW,267,2013,9,בנזין,1,1.6 GDI,37,15.8,13.0,14.4
קיה,37,סיד CW,267,2016,6,בנזין,1,1.6 דיזל,53,22.7,14.5,18.6
קיה,37,סיד SW,268,2017,1,בנזין,1,1.6 בנזין,63,15.8,14.0,14.9
קיה,37,סיד X,269,2020,10,בנזין,1,1.4,3,16.5,14.0,15.25
קיה,37,סלטוס,270,2020,10,בנזין,1,2,1,13.0,12.0,12.5
קיה,37,סלטוס,270,2021,13,בנזין,1,2,1,13.1,13.0,13.05
קיה,37,ספורטאג',271,2011,4,בנזין,1,2,1,0.0,9.0,9.0
קיה,37,ספורטאג',271,2014,5,בנזין,1,2,1,12.8,10.2,11.5
קיה,37,ספורטאג',271,2015,2,בנזין,1,1.6,6,11.36,10.0,10.68
קיה,37,ספורטאג',271,2016,6,בנזין,1,1.6,6,13.6,10.4,12.0
קיה,37,ספורטאג',271,2016,6,בנזין,1,1.6 טורבו 4X4,78,13.3,11.0,12.15
קיה,37,ספורטאג',271,2016,6,בנזין,1,2,1,12.6,10.0,11.3
קיה,37,ספורטאג',271,2018,7,בנזין,1,1.6,6,13.6,11.0,12.3
קיה,37,ספורטאג',271,2018,7,בנזין,1,2,1,12.6,10.5,11.55
קיה,37,ספורטאג',271,2019,3,בנזין,1,2,1,11.9,11.0,11.45
קיה,37,ספורטאג',271,2020,10,בנזין,1,2,1,11.9,11.0,11.45
קיה,37,ספורטאג',271,2021,13,בנזין,1,2,1,11.7,10.5,11.1
קיה,37,ספורטאג',271,2022,12,בנזין,1,1.6,6,13.0,11.0,12.0
קיה,37,פורטה,272,2010,11,בנזין,1,1.6,6,0.0,11.6,11.6
קיה,37,פורטה,272,2011,4,בנזין,1,1.6 (6 הילוכים),79,0.0,12.0,12.0
קיה,37,פורטה,272,2013,9,בנזין,1,1.6,6,14.3,12.0,13.15
קיה,37,פורטה,272,2016,6,בנזין,1,1.6,6,14.7,12.5,13.6
קיה,37,פיקנטו,273,2011,4,בנזין,1,1.25,36,0.0,13.0,13.0
קיה,37,פיקנטו,273,2015,2,בנזין,1,1,15,18.5,14.2,16.35
קיה,37,פיקנטו,273,2016,6,בנזין,1,1.25,36,18.5,13.7,16.1
קיה,37,פיקנטו,273,2017,1,בנזין,1,1.25,36,18.5,13.5,16.0
קיה,37,פיקנטו,273,2018,7,בנזין,1,1.25,36,18.4,15.0,16.7
קיה,37,פיקנטו,273,2021,13,בנזין,1,1.2,10,17.2,16.0,16.6
קיה,37,קארנס,274,2013,9,בנזין,1,2,1,12.6,9.7,11.15
קיה,37,קארנס,274,2015,2,בנזין,1,2,1,12.6,9.8,11.2
קיה,37,קארנס,274,2016,6,בנזין,1,2.0 בנזין,49,12.6,10.0,11.3
קיה,37,קרניבל,275,2009,14,בנזין,1,דיזל 2.9,80,0.0,8.0,8.0
קיה,37,קרניבל,275,2010,11,בנזין,1,בנזין 2.7,81,0.0,7.9,7.9
קיה,37,קרניבל,275,2016,6,בנזין,1,בנזין 3.3,82,8.9,7.5,8.2
קיה,37,קרניבל,275,2018,7,בנזין,1,בנזין 3.3,82,8.9,7.5,8.2
קיה,37,ריו,276,2010,11,בנזין,1,1.4,3,0.0,10.0,10.0
קיה,37,ריו 4 דל',277,2016,6,בנזין,1,1.4,3,15.3,12.5,13.9
קיה,37,ריו 4 דל',277,2017,1,בנזין,1,1.6,6,15.8,11.8,13.8
קיה,37,ריו 5 דל',278,2016,6,בנזין,1,1.4,3,15.8,12.5,14.15
קרייזלר,38,גראנד ואיג'ר,279,2012,8,בנזין,1,3.8,83,0.0,7.0,7.0
רנו,39,גראנד טורר SW,280,2019,3,בנזין,1,1.5 דיזל,12,23.8,18.0,20.9
רנו,39,גראנד טורר SW,280,2020,10,בנזין,1,1.5 דיזל,12,23.8,18.0,20.9
רנו,39,גראנד סניק,281,2011,4,בנזין,1,2.0 בנזין,84,0.0,8.5,8.5
רנו,39,גראנד סניק,281,2012,8,בנזין,1,1.5 דיזל,12,21.0,15.4,18.2
רנו,39,גראנד סניק,281,2013,9,בנזין,1,2.0 בנזין,49,12.3,10.0,11.15
רנו,39,גראנד סניק,281,2020,10,בנזין,1,1.3 בנזין,54,16.6,12.0,14.3
רנו,39,גרנד קופה,282,2017,1,בנזין,1,1.2,10,18.5,13.0,15.75
רנו,39,גרנד קופה,282,2019,3,בנזין,1,1.33 בנזין,85,16.9,14.0,15.45
רנו,39,לוגאן אוטומטי,283,2010,11,בנזין,1,1.6,6,0.0,9.7,9.7
רנו,39,לוגאן ידני,284,2009,14,בנזין,1,1.6,6,0.0,9.5,9.5
רנו,39,לטיטוד,285,2013,9,בנזין,1,2.0 דיזל,35,14.4,12.5,13.45
רנו,39,מגאן,286,2009,14,בנזין,1,1.6,6,0.0,10.8,10.8
רנו,39,מגאן אסטייט,287,2014,5,בנזין,1,1.2,10,17.8,12.0,14.9
רנו,39,פלואנס,288,2010,11,בנזין,1,1.6,6,0.0,9.8,9.8
רנו,39,פלואנס,288,2011,4,בנזין,1,2,1,0.0,10.5,10.5
רנו,39,פלואנס,288,2013,9,בנזין,1,1.6,6,15.6,12.0,13.8
רנו,39,פלואנס,288,2016,6,בנזין,1,1.5,7,22.7,17.5,20.1
רנו,39,קאדג'ר,289,2017,1,בנזין,1,1.2 בנזין,11,18.0,11.0,14.5
רנו,39,קליאו,290,2010,11,בנזין,1,1.6,6,0.0,11.4,11.4
רנו,39,קליאו,290,2013,9,בנזין,1,1.2 בנזין,11,19.2,13.5,16.35
רנו,39,קליאו,290,2017,1,בנזין,1,1.2,10,18.5,12.5,15.5
רנו,39,קליאו,290,2020,10,בנזין,1,1,15,18.8,14.0,16.4
רנו,39,קליאו,290,2020,10,בנזין,1,1.3,21,12.0,10.5,11.25
רנו,39,קליאו,290,2021,13,בנזין,1,1,15,15.3,14.0,14.65
רנו,39,קליאו אסטייט,291,2016,6,בנזין,1,1.5 דיזל,12,28.5,17.5,23.0
רנו,39,קנגו,292,2019,3,בנזין,1,דיזל 1.5,52,20.0,15.0,17.5
רנו,39,קפצ'ור,293,2014,5,בנזין,1,1.2,10,18.5,13.3,15.9
רנו,39,קפצ'ור,293,2016,6,בנזין,1,1.2,10,18.1,12.5,15.3
שברולט,40,אויאו 4 דלתות,294,2009,14,בנזין,1,1.4,3,0.0,11.4,11.4
שברולט,40,אויאו 5 דלתות,295,2009,14,בנזין,1,1.4,3,0.0,12.5,12.5
שברולט,40,אופטרה,296,2009,14,בנזין,1,1.6,6,0.0,9.5,9.5
שברולט,40,אורלנדו,297,2014,5,בנזין,1,1.4 בנזין,62,14.0,10.5,12.25
שברולט,40,אורלנדו,297,2016,6,בנזין,1,1.4 בנזין,62,14.0,10.0,12.0
שברולט,40,אורלנדו,297,2017,1,בנזין,1,1.4 בנזין,62,14.0,11.0,12.5
שברולט,40,אימפלה,298,2016,6,בנזין,1,3.6,75,9.7,8.0,8.85
שברולט,40,אפיקה,299,2009,14,בנזין,1,2.4,17,0.0,8.4,8.4
שברולט,40,אפלנדר,300,2009,14,בנזין,1,3.9,86,0.0,7.0,7.0
שברולט,40,אקוינוקס,301,2018,7,בנזין,1,1.5,7,12.1,10.5,11.3
שברולט,40,אקוינוקס,301,2020,10,בנזין,1,1.5,7,12.0,10.5,11.25
שברולט,40,טראוורס,302,2010,11,בנזין,1,3.6,75,0.0,8.0,8.0
שברולט,40,טראוורס,302,2018,7,בנזין,1,3.6,75,8.8,8.0,8.4
שברולט,40,טראוורס,302,2022,12,בנזין,1,3.6,75,9.0,8.0,8.5
שברולט,40,טראוורס LTZ,303,2016,6,בנזין,1,3.6,75,8.3,6.7,7.5
שברולט,40,טראקס,304,2013,9,בנזין,1,1.8,2,12.1,11.0,11.55
שברולט,40,טראקס,304,2015,2,בנזין,1,1.8,2,12.1,11.0,11.55
שברולט,40,טראקס,304,2016,6,בנזין,1,1.4,3,14.5,12.2,13.35
שברולט,40,טראקס,304,2017,1,בנזין,1,1.4,3,14.5,12.5,13.5
שברולט,40,טרייל-בלייזר,305,2020,10,בנזין,1,1.3,21,12.0,10.5,11.25
שברולט,40,טרייל-בלייזר,305,2021,13,בנזין,1,1.3,21,14.5,10.5,12.5
שברולט,40,טרייל-בלייזר,305,2022,12,בנזין,1,1.3,21,14.4,10.5,12.45
שברולט,40,מאליבו,306,2009,14,בנזין,1,3.5,47,0.0,8.6,8.6
שברולט,40,מאליבו,306,2010,11,בנזין,1,2.4,17,0.0,8.7,8.7
שברולט,40,מאליבו,306,2014,5,בנזין,1,2,1,12.0,9.7,10.85
שברולט,40,מאליבו,306,2016,6,בנזין,1,1.5,7,13.5,10.8,12.15
שברולט,40,מאליבו,306,2017,1,בנזין,1,1.5,7,13.5,11.0,12.25
שברולט,40,סוניק 4 דלתות,307,2011,4,בנזין,1,1.6,6,0.0,10.2,10.2
שברולט,40,סוניק 4 דלתות,307,2013,9,בנזין,1,1.6,6,14.3,11.0,12.65
שברולט,40,סוניק 5 דלתות,308,2011,4,בנזין,1,1.4,3,0.0,10.8,10.8
שברולט,40,ספארק,309,2016,6,בנזין,1,1.4,3,18.2,14.0,16.1
שברולט,40,ספארק,309,2017,1,בנזין,1,1.4,3,18.0,14.5,16.25
שברולט,40,ספארק,309,2019,3,בנזין,1,1.4,3,18.0,14.0,16.0
שברולט,40,ספארק,309,2020,10,בנזין,1,1.4,3,18.0,13.0,15.5
שברולט,40,קפטיבה,310,2011,4,בנזין,1,2.4,17,0.0,8.4,8.4
שברולט,40,קרוז,311,2010,11,בנזין,1,1.6,6,0.0,10.0,10.0
שברולט,40,קרוז,311,2010,11,בנזין,1,1.8,2,0.0,10.6,10.6
שברולט,40,קרוז,311,2011,4,בנזין,1,1.6,6,0.0,10.6,10.6
שברולט,40,קרוז,311,2012,8,בנזין,1,1.4 טורבו,8,0.0,11.0,11.0
שברולט,40,קרוז,311,2013,9,בנזין,1,1.6,6,14.2,10.2,12.2
שברולט,40,קרוז,311,2014,5,בנזין,1,1.4,3,14.7,12.5,13.6
שברולט,40,קרוז,311,2015,2,בנזין,1,1.4,3,14.7,12.5,13.6
שברולט,40,קרוז,311,2016,6,בנזין,1,1.4,3,14.4,12.5,13.45
שברולט,40,קרוז,311,2017,1,בנזין,1,1.4,3,14.4,12.6,13.5
שברולט,40,קרוז סטיישן,312,2013,9,בנזין,1,1.4,3,14.6,12.0,13.3
שברולט,40,קרוז סטיישן,312,2013,9,בנזין,1,1.8,2,14.2,11.0,12.6
