manufacturer,model,year,engine_type,engine_volume,test_consumption,factory_consumption,average_consumption
קיה,נירו,2016,בנזין,1.6 היברידי,26,19.5,22.75
קיה,נירו,2017,בנזין,1.6,26,19.5,22.75
קיה,נירו,2018,בנזין,1.6,26.3,19.7,23.0
קיה,נירו,2019,בנזין,1.6,27,20,23.5
קיה,נירו,2020,היברידי,1.6,27,20,23.5
קיה,נירו פלאג-אין,2022,היברידי,1.6,71,28,49.5
קיה,סול,2011,בנזין,1.6,0,10.1,10.1
קיה,סול,2014,בנזין,1.6,13,12,12.5
קיה,סורנטו,2012,בנזין,2.2 דיזל,14.9,12.5,13.7
קיה,סורנטו,2012,בנזין,2.4 בנזין,11.6,8.4,10.0
קיה,סורנטו,2015,בנזין,2.4 בנזין,11.4,10.5,10.95
קיה,סורנטו,2018,בנזין,2.4 בנזין,11.3,9.5,10.4
קיה,סורנטו,2022,בנזין,2.5,11.5,10,10.75
קיה,סטוניק,2018,בנזין,1,19.2,13.5,16.35
קיה,סטוניק,2019,בנזין,1,19.2,14,16.6
קיה,סטוניק,2021,בנזין,1,17.5,14,15.75
קיה,סטוניק,2022,בנזין,1.4,15.1,12.5,13.8
קיה,סיד,2010,בנזין,1.6,0,11.4,11.4
קיה,סיד,2013,בנזין,1.6 GDI,16.4,13.3,14.85
קיה,סיד CW,2010,בנזין,1.6,0,11,11.0
קיה,סיד CW,2013,בנזין,1.6 GDI,15.8,13,14.4
קיה,סיד CW,2016,בנזין,1.6 דיזל,22.7,14.5,18.6
קיה,סיד SW,2017,בנזין,1.6 בנזין,15.8,14,14.9
קיה,סיד X,2020,בנזין,1.4,16.5,14,15.25
קיה,סלטוס,2020,בנזין,2,13,12,12.5
קיה,סלטוס,2021,בנזין,2,13.1,13,13.05
קיה,ספורטאג',2011,בנזין,2,0,9,9.0
קיה,ספורטאג',2014,בנזין,2,12.8,10.2,11.5
קיה,ספורטאג',2015,בנזין,1.6,11.36,10,10.68
קיה,ספורטאג',2016,בנזין,1.6,13.6,10.4,12.0
קיה,ספורטאג',2016,בנזין,1.6 טורבו 4X4,13.3,11,12.15
קיה,ספורטאג',2016,בנזין,2,12.6,10,11.3
קיה,ספורטאג',2018,בנזין,1.6,13.6,11,12.3
קיה,ספורטאג',2018,בנזין,2,12.6,10.5,11.55
קיה,ספורטאג',2019,בנזין,2,11.9,11,11.45
קיה,ספורטאג',2020,בנזין,2,11.9,11,11.45
קיה,ספורטאג',2021,בנזין,2,11.7,10.5,11.1
קיה,ספורטאג',2022,בנזין,1.6,13,11,12.0
קיה,פורטה,2010,בנזין,1.6,0,11.6,11.6
קיה,פורטה,2011,בנזין,1.6 (6 הילוכים),0,12,12.0
קיה,פורטה,2013,בנזין,1.6,14.3,12,13.15
קיה,פורטה,2016,בנזין,1.6,14.7,12.5,13.6
קיה,פיקנטו,2011,בנזין,1.25,0,13,13.0
קיה,פיקנטו,2015,בנזין,1,18.5,14.2,16.35
קיה,פיקנטו,2016,בנזין,1.25,18.5,13.7,16.1
קיה,פיקנטו,2017,בנזין,1.25,18.5,13.5,16.0
קיה,פיקנטו,2018,בנזין,1.25,18.4,15,16.7
קיה,פיקנטו,2021,בנזין,1.2,17.2,16,16.6
קיה,קארנס,2013,בנזין,2,12.6,9.7,11.149999999999999
קיה,קארנס,2015,בנזין,2,12.6,9.8,11.2
קיה,קארנס,2016,בנזין,2.0 בנזין,12.6,10,11.3
קיה,קרניבל,2009,בנזין,דיזל 2.9,0,8,8.0
קיה,קרניבל,2010,בנזין,בנזין 2.7,0,7.9,7.9
קיה,קרניבל,2016,בנזין,בנזין 3.3,8.9,7.5,8.2
קיה,קרניבל,2018,בנזין,בנזין 3.3,8.9,7.5,8.2
קיה,ריו,2010,בנזין,1.4,0,10,10.0
קיה,ריו 4 דל',2016,בנזין,1.4,15.3,12.5,13.9
קיה,ריו 4 דל',2017,בנזין,1.6,15.8,11.8,13.8
קיה,ריו 5 דל',2016,בנזין,1.4,15.8,12.5,14.15
קרייזלר,גראנד ואיג'ר,2012,בנזין,3.8,0,7,7.0
רנו,גראנד טורר SW,2019,בנזין,1.5 דיזל,23.8,18,20.9
רנו,גראנד טורר SW,2020,בנזין,1.5 דיזל,23.8,18,20.9
רנו,גראנד סניק,2011,בנזין,2.0 בנזין,0,8.5,8.5
רנו,גראנד סניק,2012,בנזין,1.5 דיזל,21,15.4,18.2
רנו,גראנד סניק,2013,בנזין,2.0 בנזין,12.3,10,11.15
רנו,גראנד סניק,2020,בנזין,1.3 בנזין,16.6,12,14.3
רנו,גרנד קופה,2017,בנזין,1.2,18.5,13,15.75
רנו,גרנד קופה,2019,בנזין,1.33 בנזין,16.9,14,15.45
רנו,לוגאן אוטומטי,2010,בנזין,1.6,0,9.7,9.7
רנו,לוגאן ידני,2009,בנזין,1.6,0,9.5,9.5
רנו,לטיטוד,2013,בנזין,2.0 דיזל,14.4,12.5,13.45
רנו,מגאן,2009,בנזין,1.6,0,10.8,10.8
רנו,מגאן אסטייט,2014,בנזין,1.2,17.8,12,14.9
רנו,פלואנס,2010,בנזין,1.6,0,9.8,9.8
רנו,פלואנס,2011,בנזין,2,0,10.5,10.5
רנו,פלואנס,2013,בנזין,1.6,15.6,12,13.8
רנו,פלואנס,2016,בנזין,1.5,22.7,17.5,20.1
רנו,קאדג'ר,2017,בנזין,1.2 בנזין,18,11,14.5
רנו,קליאו,2010,בנזין,1.6,0,11.4,11.4
רנו,קליאו,2013,בנזין,1.2 בנזין,19.2,13.5,16.35
רנו,קליאו,2017,בנזין,1.2,18.5,12.5,15.5
רנו,קליאו,2020,בנזין,1,18.8,14,16.4
רנו,קליאו,2020,בנזין,1.3,12,10.5,11.25
רנו,קליאו,2021,בנזין,1,15.3,14,14.65
רנו,קליאו אסטייט,2016,בנזין,1.5 דיזל,28.5,17.5,23.0
רנו,קנגו,2019,בנזין,דיזל 1.5,20,15,17.5
רנו,קפצ'ור,2014,בנזין,1.2,18.5,13.3,15.9
רנו,קפצ'ור,2016,בנזין,1.2,18.1,12.5,15.3
שברולט,אויאו 4 דלתות,2009,בנזין,1.4,0,11.4,11.4
שברולט,אויאו 5 דלתות,2009,בנזין,1.4,0,12.5,12.5
שברולט,אופטרה,2009,בנזין,1.6,0,9.5,9.5
שברולט,אורלנדו,2014,בנזין,1.4 בנזין,14,10.5,12.25
שברולט,אורלנדו,2016,בנזין,1.4 בנזין,14,10,12.0
שברולט,אורלנדו,2017,בנזין,1.4 בנזין,14,11,12.5
שברולט,אימפלה,2016,בנזין,3.6,9.7,8,8.85
שברולט,אפיקה,2009,בנזין,2.4,0,8.4,8.4
שברולט,אפלנדר,2009,בנזין,3.9,0,7,7.0
שברולט,אקוינוקס,2018,בנזין,1.5,12.1,10.5,11.3
שברולט,אקוינוקס,2020,בנזין,1.5,12,10.5,11.25
שברולט,טראוורס,2010,בנזין,3.6,0,8,8.0
שברולט,טראוורס,2018,בנזין,3.6,8.8,8,8.4
שברולט,טראוורס,2022,בנזין,3.6,9,8,8.5
שברולט,טראוורס LTZ,2016,בנזין,3.6,8.3,6.7,7.5
שברולט,טראקס,2013,בנזין,1.8,12.1,11,11.55
שברולט,טראקס,2015,בנזין,1.8,12.1,11,11.55
שברולט,טראקס,2016,בנזין,1.4,14.5,12.2,13.35
שברולט,טראקס,2017,בנזין,1.4,14.5,12.5,13.5
שברולט,טרייל-בלייזר,2020,בנזין,1.3,12,10.5,11.25
שברולט,טרייל-בלייזר,2021,בנזין,1.3,14.5,10.5,12.5
שברולט,טרייל-בלייזר,2022,בנזין,1.3,14.4,10.5,12.45
שברולט,מאליבו,2009,בנזין,3.5,0,8.6,8.6
שברולט,מאליבו,2010,בנזין,2.4,0,8.7,8.7
שברולט,מאליבו,2014,בנזין,2,12,9.7,10.85
שברולט,מאליבו,2016,בנזין,1.5,13.5,10.8,12.15
שברולט,מאליבו,2017,בנזין,1.5,13.5,11,12.25
שברולט,סוניק 4 דלתות,2011,בנזין,1.6,0,10.2,10.2
שברולט,סוניק 4 דלתות,2013,בנזין,1.6,14.3,11,12.65
שברולט,סוניק 5 דלתות,2011,בנזין,1.4,0,10.8,10.8
שברולט,ספארק,2016,בנזין,1.4,18.2,14,16.1
שברולט,ספארק,2017,בנזין,1.4,18,14.5,16.25
שברולט,ספארק,2019,בנזין,1.4,18,14,16.0
שברולט,ספארק,2020,בנזין,1.4,18,13,15.5
שברולט,קפטיבה,2011,בנזין,2.4,0,8.4,8.4
שברולט,קרוז,2010,בנזין,1.6,0,10,10.0
שברולט,קרוז,2010,בנזין,1.8,0,10.6,10.6
שברולט,קרוז,2011,בנזין,1.6,0,10.6,10.6
שברולט,קרוז,2012,בנזין,1.4 טורבו,0,11,11.0
שברולט,קרוז,2013,בנזין,1.6,14.2,10.2,12.2
שברולט,קרוז,2014,בנזין,1.4,14.7,12.5,13.6
שברולט,קרוז,2015,בנזין,1.4,14.7,12.5,13.6
שברולט,קרוז,2016,בנזין,1.4,14.4,12.5,13.45
שברולט,קרוז,2017,בנזין,1.4,14.4,12.6,13.5
שברולט,קרוז סטיישן,2013,בנזין,1.4,14.6,12,13.3
שברולט,קרוז סטיישן,2013,בנזין,1.8,14.2,11,12.6
