יצרן,דגם,שנת יצור,סוג מנוע,נפח מנוע,צריכה - נתוני יצרן,צריכה - מבחן כביש
פיג'ו,2008,2021,חשמלי,סוללה 50 KWH,"טווח נסיעה: 320 ק""מצריכת חשמל: 176 וואט-שעה לק""מ","טווח נסיעה: 240 ק""מצריכת חשמל: 224 וואט-שעה לק""מ"
פיג'ו,2008 חדש,2020,בנזין,1.2 בנזין,"20.8 ק""מ לליטר","14.5 ק""מ לליטר"
פיג'ו,2008 חדש,2020,בנזין,1.5 דיזל,"26.3 ק""מ לליטר","17.5 ק""מ לליטר"
פיג'ו,2008 חדש,2022,בנזין,1.2,"16.4 ק""מ לליטר","14 ק""מ לליטר"
פיג'ו,208,2019,בנזין,1.2,"19.5 ק""מ לליטר","13.5 ק""מ לליטר"
פיג'ו,208,2021,בנזין,1.2,"18.8 ק""מ לליטר","13.5 ק""מ לליטר"
פיג'ו,3008,2019,בנזין,1.2,"19.2 ק""מ לליטר","13.5 ק""מ לליטר"
פיג'ו,3008,2019,דיזל,1.5,"24.3 ק""מ לליטר","15.5 ק""מ לליטר"
פיג'ו,3008,2020,בנזין,1.2,"19 ק""מ לליטר","13.5 ק""מ לליטר"
פיג'ו,3008,2020,דיזל,1.5,"24 ק""מ לליטר","15.5 ק""מ לליטר"
פיג'ו,3008,2021,בנזין,1.2,"15.3 ק""מ לליטר","12.5 ק""מ לליטר"
פיג'ו,3008,2021,דיזל,1.5,"18.9 ק""מ לליטר","17 ק""מ לליטר"
פיג'ו,3008,2022,בנזין,1.2,"15.6 ק""מ לליטר","12.5 ק""מ לליטר"
פיג'ו,5008,2019,בנזין,בנזין  1.2,"17.5 ק""מ לליטר","12 ק""מ לליטר"
פיג'ו,5008,2019,בנזין,בנזין  1.6,"17.5 ק""מ לליטר","12 ק""מ לליטר"
פיג'ו,5008,2019,דיזל,1.6 דיזל,"17.5 ק""מ לליטר","12 ק""מ לליטר"
פיג'ו,5008,2020,בנזין,בנזין 1.2,"20 ק""מ לליטר","13 ק""מ לליטר"
פיג'ו,5008,2021,דיזל,1.5,"18.5 ק""מ לליטר","16 ק""מ לליטר"
פיג'ו,5008,2022,בנזין,1.2,"14.9 ק""מ לליטר","12.5 ק""מ לליטר"
פיג'ו,5008,2022,דיזל,1.5,"18.5 ק""מ לליטר","16 ק""מ לליטר"
פיג'ו,508,2021,פלאג-אין היברידי,1.6,"66 ק""מ לליטר","22 ק""מ לליטר"
קופרה,פורמנטור,2021,בנזין,1.5,"14.5 ק""מ לליטר","12 ק""מ לליטר"
קיה,אקס סיד,2020,בנזין,1.4,"16.5 ק""מ לליטר","13 ק""מ לליטר"
קיה,נירו,2019,בנזין,1.6,"27 ק""מ לליטר","20 ק""מ לליטר"
קיה,נירו,2020,היברידי,1.6,"27 ק""מ לליטר","20 ק""מ לליטר"
קיה,נירו פלאג-אין,2020,היברידי בנזין,1.6 טעינה יומית,"69 ק""מ לליטר","35 ק""מ לליטר"
קיה,נירו פלאג-אין,2020,היברידי בנזין,2021,"ק""מ לליטר","ק""מ לליטר"
קיה,נירו פלאג-אין,2022,היברידי,1.6,"71 ק""מ לליטר","28 ק""מ לליטר"
קיה,נירו פלוס,2022,חשמלי,150 KW,"טווח נסיעה: 427 ק""מצריכת חשמל: 166 וואט-שעה לק""מ","טווח נסיעה: 415 ק""מצריכת חשמל: 154 וואט-שעה לק""מ"
קיה,נירו פלוס,2022,פלאג אין היברידי,1.6,"66 ק""מ לליטר","27 ק""מ לליטר"
קיה,סורנטו,2021,דיזל,2.2,"16.1 ק""מ לליטר","14 ק""מ לליטר"
קיה,סורנטו,2022,בנזין,2.5,"11.5 ק""מ לליטר","10 ק""מ לליטר"
קיה,סטוניק,2019,בנזין,1.0,"19.2 ק""מ לליטר","14 ק""מ לליטר"
קיה,סטוניק,2021,בנזין,1.0,"17.5 ק""מ לליטר","14 ק""מ לליטר"
קיה,סטוניק,2022,בנזין,1.4,"15.1 ק""מ לליטר","12.5 ק""מ לליטר"
קיה,סיד CW,2022,דיזל,1.6,"21.7 ק""מ לליטר","17 ק""מ לליטר"
קיה,סיד SW,2019-20,בנזין,1.4 בנזין,"17.3 ק""מ לליטר","14 ק""מ לליטר"
קיה,סיד SW,2021,בנזין מייל-היברידי,1.5,"16.6 ק""מ לליטר","14.5 ק""מ לליטר"
קיה,סיד X,2020,בנזין,1.4,"16.5 ק""מ לליטר","14 ק""מ לליטר"
קיה,סלטוס,2020,בנזין,2.0,"13 ק""מ לליטר","12 ק""מ לליטר"
קיה,סלטוס,2021,בנזין,2.0,"13.1 ק""מ לליטר","13 ק""מ לליטר"
קיה,ספורטאג',2019,בנזין,2.0,"11.9 ק""מ לליטר","11 ק""מ לליטר"
קיה,ספורטאג',2019,דיזל,1.6,"21.7 ק""מ לליטר","16 ק""מ לליטר"
קיה,ספורטאג',2019,דיזל,1.6 דיזל,"21.7 ק""מ לליטר","16.5 ק""מ לליטר"
קיה,ספורטאג',2019,דיזל,2021,"ק""מ לליטר","ק""מ לליטר"
קיה,ספורטאג',2020,בנזין,2.0,"11.9 ק""מ לליטר","11 ק""מ לליטר"
קיה,ספורטאג',2020,דיזל,1.6,"21.7 ק""מ לליטר","16.5 ק""מ לליטר"
קיה,ספורטאג',2021,בנזין,2.0,"11.7 ק""מ לליטר","10.5 ק""מ לליטר"
קיה,ספורטאג',2021,דיזל,1.6,"17.2 ק""מ לליטר","14.5 ק""מ לליטר"
קיה,ספורטאג',2022,בנזין,1.6,"13 ק""מ לליטר","11 ק""מ לליטר"
קיה,ספורטאג',2022,דיזל,1.6,"17.2 ק""מ לליטר","14.5 ק""מ לליטר"
קיה,ספורטאג',2022,טורבו בנזין אורבן,1.6,"14.2 ק""מ לליטר","12 ק""מ לליטר"
קיה,ספורטאג',2022,פלאג-אין היברידי,בנזין 1.6,"90 ק""מ לליטר","22 ק""מ לליטר"
קיה,ספורטאג',2022,פרימיום 1.6,טורבו בנזין,"ק""מ לליטר","ק""מ לליטר"
קיה,פיקנטו,2021,בנזין,1.2,"17.2 ק""מ לליטר","16 ק""מ לליטר"
רנו,גראנד טורר SW,2019,בנזין,1.5 דיזל,"23.8 ק""מ לליטר","18 ק""מ לליטר"
רנו,גראנד טורר SW,2020,בנזין,1.5 דיזל,"23.8 ק""מ לליטר","18 ק""מ לליטר"
רנו,גראנד סניק,2020,בנזין,1.3 בנזין,"16.6 ק""מ לליטר","12 ק""מ לליטר"
רנו,גרנד קופה,2019,בנזין,1.33 בנזין,"16.9 ק""מ לליטר","14 ק""מ לליטר"
רנו,גרנד קופה,2019,דיזל,1.5,"27 ק""מ לליטר","18 ק""מ לליטר"
רנו,גרנד קופה,2020,דיזל,1.5,"23.8 ק""מ לליטר","18 ק""מ לליטר"
רנו,גרנד קופה,2021,דיזל,1.5,"19.2 ק""מ לליטר","17.5 ק""מ לליטר"
רנו,זואי,2021,חשמלי,סוללה 41 KWH,"טווח נסיעה: 306 ק""מצריכת חשמל: 172 וואט-שעה לק""מ","טווח נסיעה: 260 ק""מצריכת חשמל: 170 וואט-שעה לק""מ"
רנו,קליאו,2020,בנזין,1.0,"18.8 ק""מ לליטר","14 ק""מ לליטר"
רנו,קליאו,2020,בנזין,1.3,"12 ק""מ לליטר","10.5 ק""מ לליטר"
רנו,קליאו,2021,בנזין,1.0,"15.3 ק""מ לליטר","14 ק""מ לליטר"
רנו,קנגו,2019,בנזין,דיזל 1.5,"20 ק""מ לליטר","15 ק""מ לליטר"
שברולט,אקוינוקס,2020,בנזין,1.5,"12 ק""מ לליטר","10.5 ק""מ לליטר"
שברולט,טראוורס,2022,בנזין,3.6,"9 ק""מ לליטר","8 ק""מ לליטר"
שברולט,טרייל-בלייזר,2020,בנזין,1.3,"12 ק""מ לליטר","10.5 ק""מ לליטר"
שברולט,טרייל-בלייזר,2021,בנזין,1.3,"14.5 ק""מ לליטר","10.5 ק""מ לליטר"
שברולט,טרייל-בלייזר,2022,בנזין,1.3,"14.4 ק""מ לליטר","10.5 ק""מ לליטר"
שברולט,ספארק,2019,בנזין,1.4,"18 ק""מ לליטר","14 ק""מ לליטר"
שברולט,ספארק,2020,בנזין,1.4,"18 ק""מ לליטר","13 ק""מ לליטר"
